number,value,datetime_start,datetime_complete,duration,params_disp_width,params_learning_rate,params_lr_gamma,params_lr_step_size,params_scheduler,params_stress_width,params_w_bc,params_w_cons_bc,params_w_data,user_attrs_best_reported_value,user_attrs_disp_rel_l2,user_attrs_disp_rmse,user_attrs_final_loss,user_attrs_sigma11_max_abs,user_attrs_sigma11_rel_l2,user_attrs_sigma11_rmse,user_attrs_sigma12_max_abs,user_attrs_sigma12_rel_l2,user_attrs_sigma12_rmse,user_attrs_sigma22_max_abs,user_attrs_sigma22_rel_l2,user_attrs_sigma22_rmse,user_attrs_study_mode,user_attrs_trial_dir,user_attrs_u_max_abs,user_attrs_u_rel_l2,user_attrs_u_rmse,user_attrs_use_data_part_e,user_attrs_v_max_abs,user_attrs_v_rel_l2,user_attrs_v_rmse,state
10,0.2514180884020894,2026-03-15 00:54:26.365602,2026-03-15 00:54:35.528272,0 days 00:00:09.162670,400,0.00023857827997977364,,,none,400,5.0,0.5,604.1077063213121,,,,,,,,,,,,,,,,,,,,,,,PRUNED
11,0.11483604701407152,2026-03-15 00:54:35.615814,2026-03-15 00:54:44.868509,0 days 00:00:09.252695,200,0.0002085577812614378,,,none,400,5.0,2.0,86.89805451127876,,,,,,,,,,,,,,,,,,,,,,,PRUNED
12,0.08348259117402854,2026-03-15 00:54:44.959829,2026-03-15 00:55:03.715469,0 days 00:00:18.755640,300,0.0003964130138445198,,,none,500,1.0,0.5,68.03298478873297,,,,,,,,,,,,,,,,,,,,,,,PRUNED
13,0.1269183602381714,2026-03-15 00:55:03.783809,2026-03-15 00:55:13.220725,0 days 00:00:09.436916,300,0.00019270918442089324,,,none,500,2.0,0.5,367.9445679226082,,,,,,,,,,,,,,,,,,,,,,,PRUNED
14,0.04635592027900929,2026-03-15 00:55:13.289301,2026-03-15 00:58:18.744230,0 days 00:03:05.454929,200,0.0002247702891785701,,,none,400,5.0,2.0,884.2395875494129,0.04635592027900929,0.04635592027900929,0.0009386106394231319,0.0012335274368524551,0.12392803590918755,0.16900168517849853,0.020849508537460204,0.05545669101148375,0.5233921356038106,0.01199267971720183,0.1874667523871127,1.2274950458562586,0.03300003540754072,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0014,0.003820190206170082,0.027286503215971078,0.0007359724841080606,True,0.006413761526346207,0.11488104060888862,0.0011046829167753458,COMPLETE
15,0.11619042603555742,2026-03-15 00:58:18.843108,2026-03-15 01:01:06.848250,0 days 00:02:48.005142,200,0.00028125371488991227,,,none,400,5.0,2.0,901.2768380569332,0.048575814186396817,0.11619042603555742,0.0023526137229055166,0.004278636071830988,0.1246248090316237,0.20375751642084772,0.025137288268464213,0.05079918050980298,0.5252531300343963,0.01203532137847893,0.2103251075814429,1.4168404920355109,0.0380904074210695,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0015,0.005287207663059235,0.07636831443433108,0.0020598089322447777,True,0.005622958764433861,0.2717179107837777,0.0026128084864467382,COMPLETE
16,0.048534277478101205,2026-03-15 01:01:07.048543,2026-03-15 01:04:24.134757,0 days 00:03:17.086214,300,0.00010290745490654986,,,none,400,0.5,2.0,328.68090634450016,0.04853157156097773,0.048534277478101205,0.0009827178437262774,0.0005926747107878327,0.1346742862512053,0.19155049697750673,0.02363132484666716,0.05330939659690587,0.5201887903738931,0.011919280270109061,0.18810362056595714,1.2140558741130782,0.0326387360728753,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0016,0.004356849938631058,0.029032803926964404,0.0007830738322809339,True,0.006561663001775742,0.11940208476953432,0.0011481568217277527,COMPLETE
17,0.14024318834375896,2026-03-15 01:04:24.237048,2026-03-15 01:04:33.968252,0 days 00:00:09.731204,300,0.00010893899657227423,,,none,400,0.5,1.0,263.0517150504716,,,,,,,,,,,,,,,,,,,,,,,PRUNED
18,0.08787069068904366,2026-03-15 01:04:34.073895,2026-03-15 01:07:54.137458,0 days 00:03:20.063563,300,0.00021489588496320165,,,none,400,0.5,2.0,449.8747293491153,0.042885757658203294,0.08787069068904366,0.0017791982972994447,0.0013861749321222305,0.12242464101988954,0.16837061203949313,0.020771653900770876,0.04795123146688668,0.528258074241174,0.012104174788739616,0.17684386730892093,1.109296414033916,0.02982237774739165,part_e,problem_1_experiments/optuna_studies/pinn_v4_part_e/trials/trial_0018,0.003037191927433014,0.06384813672089598,0.0017221142770722508,True,0.004444848746061325,0.1907787507044085,0.001834506751038134,COMPLETE
19,0.10267451674550648,2026-03-15 01:07:54.303071,2026-03-15 01:08:02.181284,0 days 00:00:07.878213,300,0.0001399969720993278,0.3009465471750359,2000.0,step,300,2.0,2.0,333.0361855752461,,,,,,,,,,,,,,,,,,,,,,,PRUNED
20,0.2286374828006977,2026-03-15 01:08:02.274496,2026-03-15 01:08:23.797002,0 days 00:00:21.522506,400,0.00013420091864302952,0.4205716266209524,2000.0,step,400,1.0,2.0,317.3862419781603,,,,,,,,,,,,,,,,,,,,,,,PRUNED
21,0.10156652292396638,2026-03-15 01:08:23.902574,2026-03-15 01:08:32.016654,0 days 00:00:08.114080,300,0.00016488340967815961,,,none,300,5.0,2.0,141.42472780923978,,,,,,,,,,,,,,,,,,,,,,,PRUNED
22,0.14600987926233014,2026-03-15 01:08:32.106688,2026-03-15 01:08:43.574775,0 days 00:00:11.468087,200,0.0001223812781245629,0.5855413738582281,2000.0,step,500,5.0,2.0,435.4819513179728,,,,,,,,,,,,,,,,,,,,,,,PRUNED
23,0.15887589886927647,2026-03-15 01:08:43.689217,2026-03-15 01:08:52.552137,0 days 00:00:08.862920,200,0.00016701455649739848,0.43390447635769225,4000.0,step,400,0.5,2.0,990.4625109042576,,,,,,,,,,,,,,,,,,,,,,,PRUNED
24,0.14310139988303863,2026-03-15 01:08:52.643979,2026-03-15 01:09:02.987505,0 days 00:00:10.343526,300,0.00010962561248094855,,,none,400,5.0,2.0,863.5078727631517,,,,,,,,,,,,,,,,,,,,,,,PRUNED
25,0.10211060596484153,2026-03-15 01:09:03.097496,2026-03-15 01:09:10.150702,0 days 00:00:07.053206,200,0.00011354296118699998,,,none,300,5.0,0.5,274.044129771023,,,,,,,,,,,,,,,,,,,,,,,PRUNED
26,0.09257277637474443,2026-03-15 01:09:10.240371,2026-03-15 01:09:35.512434,0 days 00:00:25.272063,400,0.00010116580720929997,,,none,500,0.5,2.0,857.2963657843014,,,,,,,,,,,,,,,,,,,,,,,PRUNED
