number,value,datetime_start,datetime_complete,duration,params_disp_width,params_learning_rate,params_lr_gamma,params_lr_step_size,params_scheduler,params_stress_width,params_w_bc,params_w_cons_bc,user_attrs_best_reported_value,user_attrs_disp_rel_l2,user_attrs_disp_rmse,user_attrs_final_loss,user_attrs_sigma11_max_abs,user_attrs_sigma11_rel_l2,user_attrs_sigma11_rmse,user_attrs_sigma12_max_abs,user_attrs_sigma12_rel_l2,user_attrs_sigma12_rmse,user_attrs_sigma22_max_abs,user_attrs_sigma22_rel_l2,user_attrs_sigma22_rmse,user_attrs_study_mode,user_attrs_trial_dir,user_attrs_u_max_abs,user_attrs_u_rel_l2,user_attrs_u_rmse,user_attrs_use_data_part_e,user_attrs_v_max_abs,user_attrs_v_rel_l2,user_attrs_v_rmse,state
12,0.7674813985513282,2026-03-14 13:48:57.069176,2026-03-14 13:49:06.055903,0 days 00:00:08.986727,200,0.0026922222332165504,,,none,300,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
13,0.734699817176265,2026-03-14 13:49:06.150541,2026-03-14 13:49:15.056208,0 days 00:00:08.905667,200,0.0010062465076213331,,,none,300,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
14,0.7296696052887497,2026-03-14 13:49:15.150782,2026-03-14 13:52:16.925603,0 days 00:03:01.774821,400,0.0008481886844394653,,,none,400,0.5,2.0,0.6247606466627742,0.7296696052887497,0.014774286188185215,1.624092328711413e-05,0.2851203497235617,0.6037704654883272,0.07448634291172604,0.0747931498982528,0.9419357290105549,0.02158292558060815,0.1908117985795203,1.6328805166392932,0.043898437755234804,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0014,0.0318455845117569,0.6154257435219445,0.01659928634762764,False,0.022720176726579666,1.3196368817810245,0.012689477764070034,COMPLETE
15,0.7706715398375332,2026-03-14 13:52:17.025025,2026-03-14 13:55:33.496722,0 days 00:03:16.471697,400,0.00120911739110361,,,none,400,0.5,2.0,0.5361951457185089,0.7706715398375332,0.015604490414261818,1.015994894260075e-05,0.2985912304107985,0.6523764204660074,0.08048279361106776,0.07766188326706679,0.967459984771997,0.022167772397256952,0.17865870580775173,1.5512191332705403,0.0417030492266255,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0015,0.03570881485939026,0.6777527685467959,0.018280373886227608,False,0.022366173565387726,1.2856195788511044,0.012362370267510414,COMPLETE
16,0.7917050034274168,2026-03-14 13:55:33.601324,2026-03-14 13:58:51.008379,0 days 00:03:17.407055,400,0.00030319238402575107,,,none,400,0.5,2.0,0.6191917870473042,0.7917050034274168,0.01603037305176258,1.1428022844484076e-05,0.29481587966130585,0.6514555656209998,0.08036918899859027,0.07771715912451536,1.0027997485475,0.02297752561938406,0.18272643596631916,1.6317602333149788,0.04386832000486694,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0016,0.037144288420677185,0.6888155395562947,0.01857875846326351,False,0.024653691798448563,1.3510314777966241,0.012991365045309067,COMPLETE
17,0.8004271428116613,2026-03-14 13:58:51.108843,2026-03-14 14:01:46.826654,0 days 00:02:55.717811,200,0.0010888034043246874,0.3071437124544185,4000.0,step,400,0.5,2.0,0.5813319094613514,0.8004271428116613,0.016206979751586914,7.614780770381913e-06,0.29207729955361694,0.631867722614591,0.07795266339080596,0.07564194984217675,0.9908084427828175,0.022702764346441046,0.19325675130588443,1.7436523287125614,0.046876432438728896,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0017,0.036198679357767105,0.6859543173576692,0.018501585349440575,False,0.026119500398635864,1.4069039725144343,0.013528627343475819,COMPLETE
18,0.6644750107555804,2026-03-14 14:01:46.945765,2026-03-14 14:01:56.014483,0 days 00:00:09.068718,400,0.0005458645568854638,,,none,400,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
19,0.6768933507551352,2026-03-14 14:01:56.109812,2026-03-14 14:02:06.771384,0 days 00:00:10.661572,400,0.0007566548617432764,,,none,500,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
20,0.8179470229088931,2026-03-14 14:02:06.862547,2026-03-14 14:02:15.923948,0 days 00:00:09.061401,400,0.0009540539217285975,0.476269059685838,6000.0,step,400,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
21,0.6831512624811454,2026-03-14 14:02:16.019667,2026-03-14 14:02:26.460345,0 days 00:00:10.440678,400,0.0015969479061557763,0.5878348724359125,2000.0,step,500,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
22,0.7344379360517943,2026-03-14 14:02:26.556192,2026-03-14 14:05:29.921016,0 days 00:03:03.364824,400,0.002920978988807852,,,none,300,1.0,2.0,0.5328906632922491,0.7344379360517943,0.014870835468173027,6.912252138135955e-05,0.29488198121236175,0.6649542160046834,0.08203449917654237,0.07929177134712727,0.9534948667184555,0.02184778442526378,0.1786674937675658,1.5041426968221034,0.04043744406194186,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0022,0.0295577310025692,0.5049859266991903,0.013620498590171337,False,0.02721995860338211,1.6663992594446675,0.016023904085159302,COMPLETE
23,0.7231379322294663,2026-03-14 14:05:30.039296,2026-03-14 14:05:40.380269,0 days 00:00:10.340973,400,0.002141232525100927,,,none,300,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
24,0.6811713059429876,2026-03-14 14:05:40.481428,2026-03-14 14:05:50.039621,0 days 00:00:09.558193,400,0.0022484814059993957,,,none,300,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
25,0.764864230813768,2026-03-14 14:05:50.141390,2026-03-14 14:08:48.541759,0 days 00:02:58.400369,200,0.001212307665496794,,,none,300,0.5,2.0,0.5671799981235844,0.764864230813768,0.015486905351281166,1.585501740919426e-05,0.3012270968143782,0.6555825884289572,0.08087833420136102,0.07850318792691023,0.9898791684684909,0.022681471536589618,0.1767346902261439,1.5384819242824668,0.04136062149217671,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0025,0.03588744252920151,0.6645841870537597,0.017925189808011055,False,0.02278536558151245,1.3087464115367782,0.012584755197167397,COMPLETE
